customer_id,age,gender,item_purchased,category,purchase_amount_(usd),location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,frequency_score,promo_dependency_score,spend_norm,freq_norm,prev_norm,value_score,value_tier,satisfaction_flag,defA_score,loyal_A,defB_score,loyal_B,segment
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,1,Express,1,1,14,Venmo,Fortnightly,4,1.0,0.4125,0.75,0.2653061224489796,0.4695918367346939,Mid,0,0.1989795918367347,0,0.0,0,Promo Dependent
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,1,Express,1,1,2,Cash,Fortnightly,4,1.0,0.55,0.75,0.02040816326530612,0.45112244897959186,Mid,0,0.015306122448979591,0,0.0,0,Promo Dependent
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,1,Free Shipping,1,1,23,Credit Card,Weekly,5,1.0,0.6625,1.0,0.4489795918367347,0.6996938775510204,Champions,0,0.4489795918367347,1,0.0,0,Promo Dependent
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,1,Next Day Air,1,1,49,PayPal,Weekly,5,1.0,0.875,1.0,0.9795918367346939,0.9438775510204082,Champions,1,0.9795918367346939,1,0.0,0,Promo Dependent
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,1,Free Shipping,1,1,31,PayPal,Annually,1,1.0,0.3625,0.0,0.6122448979591837,0.3286734693877551,Low,0,0.0,0,0.0,0,Promo Dependent
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,1,Standard,1,1,14,Venmo,Weekly,5,1.0,0.0,1.0,0.2653061224489796,0.3795918367346939,Mid,0,0.2653061224489796,1,0.0,0,Promo Dependent
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,1,Free Shipping,1,1,49,Cash,Quarterly,2,1.0,0.8125,0.25,0.9795918367346939,0.6938775510204082,Champions,0,0.24489795918367346,1,0.0,0,Promo Dependent
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,1,Free Shipping,1,1,19,Credit Card,Weekly,5,1.0,0.175,1.0,0.3673469387755102,0.48020408163265305,Mid,0,0.3673469387755102,1,0.0,0,Promo Dependent
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,1,Express,1,1,8,Venmo,Annually,1,1.0,0.9625,0.0,0.14285714285714285,0.4278571428571429,Mid,0,0.0,0,0.0,0,Promo Dependent
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,1,2-Day Shipping,1,1,4,Cash,Quarterly,2,1.0,0.1375,0.25,0.061224489795918366,0.1483673469387755,Low,1,0.015306122448979591,0,0.0,0,Promo Dependent
